title|city|country|latitude|longitude|year|date|people|people_links|event_links|description
"The life and travels of Fransisco de Miranda"|Puebla de Zaragoza|Mexico|||2023|11-3-2023|[]|[]|[]|"The following story is an account of the life of Fransisco de Miranda, his adventures, impact on history and the people he met. Fransisco de Miranda was a Venezuelan revolutionary who fought in the American war of independence, the French revolution and the Venezuelan wars of independence. I decided to make this info page after traveling through South America and learning more about their revolutionary history and discovering Fransisco de Miranda. There's a lot of information about the famous characters of the revolutions like Simón Bolívar and José de San Martín, the information about Miranda is far less accesable but he lived an extremely interesting life, therefore I decided to write this account of his life. Miranda fought tirelessly for the independence of the American colonies but was born too early, he's known in history as 'The Precursor' of Latin American independence. The whole story is written by me, the main information is sourced from the book 'Life of Miranda' by William Spence Robertson (1929) which is public domain. All accompanying maps are made by me as well with Python and GeoPandas, I've tried to recreate the historical borders as accurately as possible(but they are an aproximation). Press the right button on the portret and enjoy this amazing story about Fransisco de Miranda!"
"Born in Caracas"|Caracas|Venezuela|10.482963515158941|-66.9051394718394|1750|28-03-1750|[]|[]|[]|"Fransisco de Miranda was born on March 28th 1750 in Caracas to a father from the Canary Islands and a Venezuelan mother. Fransisco enjoyed a first class upbringing, his father being a wealhy merchant and his mother coming from a wealthy influential family. Fransisco was a gifted student, studying Latin, Grammar, History, Geography and Arithmatic. However, despite his talent and wealth, Francisco was subject to predjudice within the aristocracy of the Spanish Empire because his father was an immigrant from the Empire's territory in the Canary Islands, whereas those in power immigrated from Spain. This discrimination would later lead to conflict within the ruling circles, contributing to Marinada's decision to leave Venezuela as a young adult."
"Studies in Madrid"|Madrid|Spain| 40.417756094894436| -3.7038954303629192|1771|28-03-1771|[]|[]|[]|"At 21 years old, Miranda traveled to Madrid aspiring to improve his education. He focused on learning foreign languages while also studying history, politics, math, and his family's geneaology. Fancisco gained this knowledge with the ambition to travel through Europe and to serve as an officer in the Spanish army."
"The Siege of Melila"|Melila|Spain| 35.29237217643332| -2.938347996055904|1774|9-12-1774 |["The Siege of Melila"]|[]|[]|"After studying in Madrid for two years, Miranda bought a captaincy in the Princess Regiment of the Spanish Army. The regiment was to Melila, a Spanish enclave on the coast of Marocco. Miranda fought against the forces of the Sultan of Marocco who laid siege against Melila, Fransisco and his regiment held out and Melila is still Spanish up until today."
"Stationed in Cadiz"|Cadiz|Spain| 36.521087477232044| -6.279619626951156|1775|19-03-1775|[]|[]|[]|"Miranda received several complaints during his service in Morocco ranging from reading too much to abuse of power and embezzlement of regimental funds. He was transferred back to his station in the Spanish port of Cadiz"
"Off to war"|Havana|Cuba| 23.114440936491402| -82.36701945518091|1780|1-05-1780|[]|[]|[]|"Spain got involved in the American war of indepence to strenghten it's position in Florida and the bean. Miranda was transferred with his regiment and stationed in Havana, Cuba."
"The Siege of Pensacola"|Pensacola|United States of America| 30.482806791414966| -87.22408331124026|1781|09-05-1781|["Siege of Pensacola"]|[]|[]|"Fransisco took part in the siege against the british held town of Pensacola. After the two month siege, Fransisco de Miranda was promoted to lieutenant colonel."
"Prisoner Exchange"|Kingston|Jamaica|18.016373205006122| -76.80854301133755|1781|18-08-1781|[]|[]|[]|"After the siege in Florida, de Miranda was sent to the british island of Jamaica to negotiate the return of nine hundred Spanish prisoners. He succesfully neogitiated the exchange, bought additional ships, and made a deal with a local merchant Philip Allwood to transport some goods to Havana and sell them on the internal Spanish market."
"Return to Havana"|Havana|Cuba| 23.114440936491402| -82.36701945518091|1781|21-09-1781|["Bernardo de Gálvez"]|[]|[]|"Once superiors found out about this transport arrangement, Miranda was accused of smuggling and spying for the British and was prosecuted by the governor Bernardo de Gálvez. He was not yet arrested for this transgression because he had unconditional support from his superior officer Cagigal."
"The capture of the Bahamas"|Nassua|the Bahamas| 25.05392539124725| -77.35004537768445|1782|01-05-1782|["Capture of the Bahamas (1782)"]|[]|[]|"Miranda took part in the capture of the Bahamas, although the expedition was not officialy sanctioned by Galvez the Minister of the Indies . The British regiment in Nassau realized they we're outmanned and gave up without a fight."
"Off to Jail"|Havana|Cuba| 23.114440936491402| -82.36701945518091|1782|1-07-1782|[]|[]|[]|"After bringing back the news of the capture of the Bahamas, Miranda and his superior officer Cagigal were arrested on orders of Galvez. He was later released but the arrest started influencing his opinions of the Spanish army and the state. He was released after a short period in jail and was tasked with helping plan an invasion of Jamaica together with the French because of his previous trip to and knowledge of the island."
"Preparations for Jamaica"|St. Domingue|Dominican Republic|18.50370910605414| -69.93472405376258|1783|18-05-1783|[]|[]|[]|"The invasion of Jamaica got canceled because of the French lost many ships in a navy battle. This resulted in the prosecution of Miranda picking up steam. Here upon Fransisco de Miranda decided to leave the Spanish service"
"The final straw"|New Bern|United States of America|35.108461677989936| -77.04403131087305|1783|10-07-1783|[]|[]|[]|"Fransisco de Miranda received an early warning of the arrest order and decided to flee instead of face trial in Spain, Fransisco always felt held back because of his heritage and thought his treatment in the smuggling accusations was unfair. It was hard to move up in the very aristocratic structure of the Spanish army if you didn't have the right family or connections. This was a turning point in his life, after ten years in service of the Spanish crown he boarded a ship bound for New Bern (USA) and started the next chapter in his life. From this point on de Miranda is hellbent on the liberation of Venezuela from Spain so that people like him can thrive in a more equal society."
"Exploring the Carolinas"|Charleston|United States of America|32.77704458357035|-79.93126480461444|1783|29-07-1783|[]|[]|[]|"De Miranda spent over four months in the Carolinas, touring the fortifications of Georgetown and Wilmington. After arriving in Charleston he soon became a popular socialite meeting the governor, mayor, Generals and judges at several parties."
"Meeting the heroes of the revolution"|Philadelpia|United States of America|39.95406978860743| -75.16493007034227|1783|01-11-1783|["George Washington", "Friedrich Wilhelm von Steuben", "Robert Morris", "John Dickinson"]|["https://en.wikipedia.org/wiki/George_Washington"]|[]|"With letters of introduction of his former senior officer Cagigal he arranged meetings with the political elite in the newly formed USA's capital. He dined with George Washington (most important American General and future first president of the USA), met the President of the Congress Robert Morris and the famous Prussian General Von Steuben who had a commanding role in the American war of independence. All the while gathering information on how the war was won by visiting battle sites and meeting the people that played in important role in the revolution."
"Socializing in New York"|New York|United States of America|40.720212162290714| -73.99881645891875|1783|01-12-1783|["Alexander Hamilton", "Henry Knox", "Thomas Paine", "The Livingston family"]|[]|["The Livingston family"]|"After a Spanish agent informed the goverment that Fransisco was in fact a deserter he quickly fell out of favor in the social circles of Philadelphia. He promptly made his way to New York city. In New York he became aquainted with Alexander Hamilton (nowadays most famous for the musical Hamilton but originally know for being a capable artillery captain and becoming George Washingtons secretary in the war). He also became friends with Henry Knox a famous artilery General to whom Fort Knox is named after where the US gold reservers are stored. He also met famous author Thomas Paine who wrote the most important revolutionary pamflet 'Common Sense' and had an affair with Miss Eliza Livingston of the influential livingston family."
"Wandering in New England"|Boston|United States of America|42.36065777753818| -71.05766544615717|1784|01-07-1784|["Gilbert du Motier, Marquis de Lafayette"]|[]|[]|"De Miranda traveled up to Boston and toured the area visiting both Yale and Harvard college and meeting with their Presidents. In Boston he met the famous Marquis de Lafayette who he found to be a very arrogant Frenchman. He explored the battlesites around Boston with his knew friend General Knox and finalized his plans to start a revolution in South America. For the last year and a half in the USA he had been building up a social network of diplomats, Generals and financiers with the eventual aim of launching a revolution in his homeland."
"Crossing the pond"|London|United Kingdom|51.50736900265918| -0.12801077674164058|1785|01-02-1785|["John Adams", "William Stephens Smith"]|["https://en.wikipedia.org/wiki/John_Adams"]|[]|"Fransisco de Miranda arrived in London on February first 1785, he planned on making a European tour to further his education and military knowledge. He also planned on fighting his ordered arrest for smuggling in Spain but the Spanish authorities became aware of his treasonous talks about revolution and urged the British to arrest him and extradite him back to Spain. Miranda also reacuainted with Colonel W. S. Smith whom he previously met in New York. Smith who was the son in law of John Adams (future second president of the USA) planned on joining de Miranda on a part of his European tour."
|Rotterdam|Netherlands|51.92136277229768| 4.484111350337093|1785|22-08-1785||||
|Den Haag|Netherlands|52.079639807451244| 4.313270065186752|1785|24-08-1785||||
|Leiden|Netherlands|52.15892369442727| 4.492512953113654|1785|25-08-1785||||
|Haarlem|Netherlands|52.381459488807586| 4.63599204282943|1785|26-08-1785||||
"Traveling through the low countries"|Amsterdam|Netherlands|52.367355419753224| 4.9048942029315805|1785|27-08-1785|[]|[]|[]|"Miranda and Smith quickly travelled through Rotterdam, Leiden, Haarlem onto Amsterdam where Miranda wrote to a friend that the Netherland's was a singular and most curious country."
"Admiring Prussia"|Berlin|Germany|52.51956577619486| 13.405182235126574|1785|29-08-1785|[]|[]|[]|"The two Colonels headed to Berlin and received permission from the Prussian King to attend Prussian military excercices (which was regarded to be the best army in the world at the time). They also dined at the royal palace where he again met the Marquis de Lafayette who inquired about the status of his revolutionary plans."
"Relaxing in Vienna"|Vienna|Austria|48.20915504534651| 16.371568940844192|1785|3-10-1785|["Johann Wolfgang von Goethe"]|[]|[]|"The two friends arrived in Vienna and explored the city. They visited the university, the palace of Emperor Jospeh II and saw him from a far in the theatre. Around this time he supposedly also met famous philosopher Johann Wolfgang von Goethe who gave him the inspiration of a flag with only primary colors (current flags of Venezuela, Colombia and Equador) during a late night drinking session."
"Hanging with a famous composer"|Budapest|Hungary|47.497371033343775| 19.040121142142933|1785|28-10-1785|["Joseph Haydn"]|[]|[]|"Smith left to go back to London while De Miranda moved on to Budapest en route to Constantinople. In Budapest he met famous composer Joseph Hayden with whom he talked about great musicians according to his diary."
|Venice|Italy|45.47632876444861| 12.257285607274156|1785|12-11-1785||||
|Bologna|Italy|44.498930589791804| 11.340772543209226|1785|||||
|Florence|Italy|43.77110156243301| 11.244983842837234|1785|||||
"Traveling in Italy"|Rome|Italy|41.902068466124916| 12.49676274753354|1786|25-01-1786|[]|[]|[]|"De Miranda traveled through Venice, Bologna, Florence onto Rome where he stayed for a month. He took in the local culture, visited the Sistine chapel and admired statues by Michelangelo. He then went to the Adriatic sea and boarded a ship bound for the Athens."
|Naples|Italy|40.855634050416924| 14.25930726446726|1786|||||
|Barletta|Italy|41.31777170037388| 16.283958349038887|1786|||||
"Bribing Ottomans"|Athens|Greece|37.98536444085327| 23.726910141854884|1786|17-06-1786|[]|[]|[]|"On June 17 1785 Fransisco arrived in Piraeus the port city of Athens. Greece was at this time under Ottomon control, de Miranda visited several cultural sites including the Acropolis for which he had to bribe an Ottomon officer."
|Smyrna|Turkey|38.4510307307762| 27.158556849596266|1786|1-07-1786||||
|Alexandria|Egypt|31.198739682451333| 29.921677654529823|1786|15-07-1786||||
"Egypt and Constantinople"|Istanbul|Turkey|41.00853924326744| 28.978200826875085|1786|30-07-1786|[]|[]|[]|"Fransisco left Greece behind for Izmir, travelled through Egypt and traveled to Constantinople. He visited the Hagia Sofia and explored the city seeing the slave markets and opium houses. He tried to visit the Sultan's palace but got stopped by the guards and made plans to travel onwards to Crimea."
"Making new friends"|Cherson|Ukraine|46.638224352291004| 32.6098042476081|1786|15-12-1786|["Grigory Potempkin"]|[]|[]|"After leaving from Constantinople he arrived in Cherson where he met Gregory Potemkin who was working on conquering and incorperating the current southern Ukrainian regions and Crimea into Russia after conquering these regions from the Ottoman empire in a war from 1768-1774. These new regions were called Novorossia (new russia) and are being partly used as a historical justification for the current day illegal invasion of Ukraine. In October of 2022 Russia removed the remains of Grigory Potempkin from St. Catherine’s Cathedral and moved them to Russian held territory."
|Sevastopol|Ukraine|44.610677218247076| 33.52109818409708|1787|01-01-1787||||
"Charming an empress"|Kyiv|Ukraine|50.44630138473289| 30.518014757387|1787|1-02-1787|["Catherine the Great"]|[]|[]|"Potempkin took de Miranda on a tour of Crimea and up to Kyiv to meet the Empress of Russia, Catherine II. At dinner Catherine showed a lot of interest in the Venezuelan Colonel asking him about South America, the state of the Spanish inquisition and his travels through Europe. The Czarina became concerned after hearing the Miranda would be jailed if he ever returned to his homeland and became of aware of Spanish attempts to arrest him on his travels. "
"Traveling to Moscow"|Moscow|Russia|55.767067014706015| 37.60825627797175|1787|17-06-1787|[]|[]|[]|"De Miranda traveled onto Moscow under an assumed name to not appear on the radar of the Spanish. He had been doing this for all of his European travels, at this part he styled himself as Count De Miranda despite not being a count ofcourse. The Spanish ambassador in Russia figured this out and petitioned the Empress for his arrest and extradition."
"Count Miranda"|St. Petersburg|Russia|59.939371858810695| 30.318703350998213|1787|9-07-1787|[]|[]|[]|"After arriving in the Capital of Russia Catherine heard of Miranda's troubles with the Spanish. The empress made Fransisco an official Count of Russia, provided him with 10000 rubles and instructed all European embassies to provide him with support. She also asked him not to leave Russia and stay at her court, de Miranda told her that he would love to but that the love for his homeland was too great."
"Meeting the king of Sweden"|Stockholm|Sweden|59.32553245068194| 18.06967081994819|1787|12-10-1787|["Gustav III"]|[]|[]|"Fransico traveled to Stockholm incognito to avoid the Spanish authorities. During a visit at the royal palace he was recognized by a diplomat and given a secret audience with king Gustav III."
"Avoiding arrest in Denmark"|Copenhagen|Denmark|55.68340089447554| 12.571256213818423|1787|24-12-1787|[]|[]|[]|"De Miranda arrived in Copenhagen and stayed with a local Russian Minister. He read in a newspaper that the Spanish authorities we're looking for a count Miranda in Stockholm, he just missed them but gained more attention to himself. This however didn't stop him from dining with Danish officials such as the Minister of Finance whom he told all about his plans for South America."
|Hamburg|Germany|53.56671469015554| 9.981033755071852|1788|||||
|Bremen|Germany|53.08151030442641| 8.813269954408888|1788|||||
|Groningen|Netherlands|53.22127878366571| 6.5637855872405675|1788|||||
|Amsterdam|Netherlands|52.367355419753224| 4.9048942029315805|1788|||||
|Utrecht|Netherlands|52.09914567091765| 5.115595371948234|1788|||||
|Rotterdam|Netherlands|51.92136277229768| 4.484111350337093|1788|||||
"Meeting Gibbon"|Lausanna|Switzerland|46.52400663024484|6.635902032374714|1788|3-09-1788|["Edward Gibbon"]|[]|[]|"He traveled through the Netherlands and the Holy Roman Empire onto Lusanne in the Helvetic Republic where he met and talked with Edward Gibbon, the famous author of The History of the Decline and Fall of the Roman Empire. His knowledge about Rome would inspire De Miranda in the future when we tried constructing a new govermental structure for South America with a dual power sharing structure just like the Roman Republic."
"First time in Paris"|Paris|France|48.854958315138724| 2.354473208600751|1789|15-12-1789|[]|[]|[]|"De Miranda traveled through Paris on his way to London just as the first signs of the French revolution started appearing in which he would eventually partake himself."
"End of the grand tour"|London|United Kingdom|51.50736900265918| -0.12801077674164058|1789|1-06-1789|["William Pitt the Younger"]|[]|[]|"Fransisco finished up his tour of Europe, he ended up traveling Europe for four years and at this point had deserted the Spanish army six years before. Miranda made a lot of connections througout his travels, with his witt and charm he managed to meet influential people and gain the personal support of the Empress of Russia. For now it was time to settle down and rent a house in London."
"Secret talks with the PM"|London|United Kingdom|51.50736900265918| -0.12801077674164058|1790|7-02-1790|["William Pitt the Younger"]|[]|[]|"De Miranda met with the British Prime Minsiter William Pitt to talk about his cause. Pitt fained interest in supporting Miranda's ventures and asked in detail about the Spanish colonial empire. These conversations were taking place during some hightened diplomatic tensions between Britain and Spain, after this dispute was resolved Pitt was considerable less excited about offering his support and seemed to have used Miranda as a good source of information."
"Taken advantage off"|London|United Kingdom|51.50736900265918| -0.12801077674164058|1790|9-02-1790|[]|[]|[]|"De Miranda felt slighted and demanded compensation and a yearly pension of 1200 pounds. The Prime Minister wasn't to keen on this and gave him a one time payment of five hundred pounds."
"Joining the revolutionary party"|Paris|France|48.854958315138724| 2.354473208600751|1792|23-03-1792|["Girondins", "French Revolution"]|[]|["Girondins", "French Revolution"]|"Fransisco heard about the unfolding news of the French revolution and decided to head over to Paris to see if the liberals were interested in supporting his plans for Spanish America. Through letters of introduction he soom became aquinted with the Girondon faction, the most important political club in the early stages of the revolution."
"Start of the war"|Paris|France|48.854958315138724| 2.354473208600751|1792|20-04-1792|[]|[]|[]|"in April the national assembly voted to start a war with Austria. Soon Austria's ally's would join in, the war of the first coalition had started. Because de Miranda had military experience and was lodging in Paris he was asked to join the French army. He hesitated because of his relations with the conservative Russians and his contacts with the English who didn't support the French revolution."
"Signing up for the French"|Paris|France|48.854958315138724| 2.354473208600751|1792|25-08-1792|["Charles François Dumouriez"]|[]|[]|"In August Fransisco reconsidered and felt that France was fighting a rigtheous war for the principles of Liberty. On the 1st of September he was enrolled in the French army as a Major General, which was odd because he only served as a lieutenant colonel. Being a practical man, Fransisco didn't correct them and was assigned to the command of Charles François Dumouriez who was head of the northern theater."
"The northern campaign"|Valmy|France|49.081132760603516| 4.760950891583323|1792|20-09-1792|[]|[]|[]|"Fransisco arrived at the army camp in early September and was granted command of a division and took part in the battle of Valmy where the Prussians under the duke of Brunswick we're decisively beaten while they tried to march on Paris."
"Almost becoming governor of Haiti"|Paris|France|48.854958315138724| 2.354473208600751|1792|4-11-1792|[]|[]|[]|"De Miranda was sent back to Paris to further French plans of conquest in the west indies to harass Spain who had just joined on the side of the coalition. His commanding officer Dumoeriez was a fan of Miranda and recommended him to be appointed governer of Haiti and let him invade the Caribbean colonies of Spain. The plan was shelved because the Dutch and English navies were too powerfull at the moment for this plan to succeed."
"Conquering Antwerp"|Antwerp|France|51.23005627365822| 4.400531067874842|1792|26-11-1792|[]|[]|[]|"Miranda was made head of a Division (19000 soldiers) under General Dumoeriez for the campaigns in the Austrian Netherlands and besieged Antwerp which would consequently fall on November 29."
"The conquest of Roermond"|Roermond|Netherlands|51.191701208364535| 5.987317763544012|1792|6-12-1792|[]|[]|[]|"Fransisco left Antwerp for the frontline and conquered Roermond while the main army headed into the Netherlands proper."
"The siege of Maastricht"|Maastricht|Netherlands|50.851480698957566| 5.693544918621639|1793|25-01-1793|["Siege of Maastricht"]|[]|["Siege of Maastricht"]|"King Louis XVI was executed and the Kingdom of France turned into the Republic of France. Miranda was ordered to lay siege to the Dutch city of Maastricht."
"Defeat at Neerwinden"|Neerwinden|Netherlands|50.77554926449526| 5.091928361790319|1793|25-01-1793|["Battle of Neerwinden"]|[]|["Battle of Neerwinden"]|"Dumoeriez gave De Miranda orders to lift the siege of Maastricht and join him in the village of Neerwinden where a large battle was to take place. On March 18 Miranda led the left flank into the battle of Neerwinden. At one point his flank collapsed and started to retreat, this played a part in the French defeat."
"Getting blamed for defeat"|Paris|France|48.854958315138724| 2.354473208600751|1793|20-04-1793|[]|[]|[]|"General Dumoeriez blamed the loss wholy on his Venezuelean General who was arrested and sent back to Paris to face trial. Dumoeriez who was secretly a monarchist used this as a distraction to try and negotiate with the coalition to take the northern army to Paris and restore the constitution of 1791 that had since been recinded with the execution of the king. This did not work however and Dumoeriez left his post and crossed the war lines into coalition territory."
